name,gender
Yahya,M
Habib,M
Amir,M
Amina,F
Abdur Rahman,M
Fayza,F
Dawood,M
Abdul Hamid,M
Basil,M
Zia,M
Amin,M
Fahima,F
Sidra,F
Gamil,M
Mohsin,M
Galila,F
Saim,M
Sarah,F
Mahir,M
Aaliyah,F
Gamal,M
Adham,M
Abd ar-Rashid,M
Hadi,M
Zaid,M
Burhan ad-Din,M
Rashid,M
Samira,M
Kamran,M
Tayyab,M
Meerab,F
Daud,M
Siddique,M
Faseeh,M
Atuf,M
Fatemah,F
Waqas,M
Dalal,F
Arsalan,M
Abd al-Aziz,M
Adel,M
Khadija,F
Naveed,M
Jalal,M
Bakr,M
Karim,M
Faisal,M
Mahnoor,F
Hasham,M
Ruqayyah,F
Asiya,F
Asmaa,F
Essa,M
Musa,M
Abd al-Salam,M
Atif,M
Akram,M
Fadil,M
Raza,M
Ayan,M
Faruk,M
Umair,M
Asad,M
Madeeha,F
Hussein,M
Aliyya,F
Abbas,M
Ayoub,M
Ayda,F
Farhan,M
Rukash,F
Rana,F
Fatema,F
Huda,F
Anisa,F
Afzal,M
Boulos,M
Barak,M
Aziz,M
Rania,F
Mariam,F
Fatin,F
Faris,M
Balqis,F
Aziza,F
Aasim,M
Fatima az-Zahra,F
Safiya,F
Fairuz,F
Abdelaziz,M
Alia,F
Amna,F
Umaima,F
Ghalib,M
Arqam,M
Ataullah,M
Aya,F
Naeem,M
Abdur Rahim,M
Baqir,M
Safia,F
Basim,M
Abd al-Rahim,M
Nazia,F
Iqra,F
Daniyah,F
Khadijah,F
Fadia,F
Abd al-Qadir,M
Zoha,F
Kiran,F
Tariq,M
Danya,F
Zahid,M
Abderrahim,M
Abdur Rashid,M
Hoorab,F
Faiz,M
Aida,F
Safdar,M
Zainab,F
Djamila,F
Khizer,M
Fazl,M
Ghadir,F
Abd ar-Rahman,M
Yusuf,M
Irtaza,M
Gabir,M
Fajr,F
Jibril,M
Jahangir,M
Talha,M
Abdelmajid,M
Abduh,M
Danial,M
Farrah,F
Khalid,M
Abdulla,M
Farida,F
Fahd,M
Baki,M
Muna,F
Dua,F
Noman,M
Ayesha,F
Binyamin,M
Habiba,F
Aminah,F
Khalil,M
Qamar,M
Aman,M
Basima,F
Fihr,M
Fatin,M
Hafsa,F
Fariha,F
Aadil,M
Amaal,F
Nouman,M
Fidda,F
Anwar,M
Faiza,F
Asim,M
Ajwa,F
Bushra,F
Abdeslam,M
Dania,F
Aqil,M
Assia,F
Ghassan,M
Abd ar-Rahim,M
Afra,F
Aamina,F
Abu,M
Farag,M
Ibrahim,M
Ali,M
Amjad,M
Bahiyya,F
Fatima Zahra,F
Abdul Rahman,M
Bahija,F
Adil,M
Anas,M
Abdus Salam,M
Ghaliya,F
Sandal,F
Sameer,M
Sultan,M
Haamid,M
Abderrahmane,M
Ala al-Din,M
Fahim,M
Butrus,M
Armaghan,M
Ashraqat,F
Omar,M
Fuad,M
Abu Bakr,M
Gawdat,M
Akilah,F
Marukh,F
Shanzay,F
Aleena,F
Aima,F
Itish,F
Mehzil,F
Minahil,F
Hammad,M
Abid,M
Abu-Zar,M
Mohib,M
Abid,M
Aabid,M
Aariz,M
Izhar,M
Sarim,M
Rehan,M
